"file","category","count","category_label","total_pixels","percentage"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW",-2,39195,"Decline",109919,35.66
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW",-1,17994,"Stable",109919,16.37
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW",0,52600,"Absence",109919,47.85
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW",1,130,"Increase",109919,0.12
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW",-2,35315,"Decline",109919,32.13
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW",-1,23075,"Stable",109919,20.99
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW",0,50532,"Absence",109919,45.97
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW",1,997,"Increase",109919,0.91
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW",-2,21773,"Decline",109919,19.81
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW",-1,7548,"Stable",109919,6.87
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW",0,80441,"Absence",109919,73.18
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW",1,157,"Increase",109919,0.14
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW",-2,14035,"Decline",109919,12.77
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW",-1,27340,"Stable",109919,24.87
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW",0,54221,"Absence",109919,49.33
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW",1,14323,"Increase",109919,13.03
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW",-2,33698,"Decline",109919,30.66
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW",-1,34704,"Stable",109919,31.57
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW",0,38316,"Absence",109919,34.86
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW",1,3201,"Increase",109919,2.91
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW",-2,12057,"Decline",109919,10.97
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW",-1,314,"Stable",109919,0.29
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW",0,95817,"Absence",109919,87.17
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW",1,1731,"Increase",109919,1.57
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW",-2,10073,"Decline",109919,9.16
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW",-1,1170,"Stable",109919,1.06
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW",0,97897,"Absence",109919,89.06
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW",1,779,"Increase",109919,0.71
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW",-2,155,"Decline",109919,0.14
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW",-1,35,"Stable",109919,0.03
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW",0,109729,"Absence",109919,99.83
