"file","q_code","habitat_name","category","count","total_recent_occurrences","percentage_of_recent","category_label"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW","Q22","Poor fen",-2,39195,57189,68.54,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW","Q22","Poor fen",-1,17994,57189,31.46,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW","Q24","Intermediate fen and soft-water spring mire",-2,35315,58390,60.48,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW","Q24","Intermediate fen and soft-water spring mire",-1,23075,58390,39.52,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW","Q25","Non-calcareous quaking mire",-2,21773,29321,74.26,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW","Q25","Non-calcareous quaking mire",-1,7548,29321,25.74,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW","Q41","Alkaline, calcareous, carbonate-rich small-sedge spring fen",-2,14035,41375,33.92,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW","Q41","Alkaline, calcareous, carbonate-rich small-sedge spring fen",-1,27340,41375,66.08,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW","Q42","Extremely rich moss–sedge fen",-2,33698,68402,49.26,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW","Q42","Extremely rich moss–sedge fen",-1,34704,68402,50.74,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW","Q43","Tall-sedge base-rich fen",-2,12057,12371,97.46,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW","Q43","Tall-sedge base-rich fen",-1,314,12371,2.54,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW","Q44","Calcareous quaking mire",-2,10073,11243,89.59,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW","Q44","Calcareous quaking mire",-1,1170,11243,10.41,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW","Q45","Arctic–alpine rich fen",-2,155,190,81.58,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW","Q45","Arctic–alpine rich fen",-1,35,190,18.42,"Stable"
