"file","q_code","habitat_name","category","count","total_recent_occurrences","percentage_of_recent","category_label"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW","Q22","Poor fen",-2,729628,1285973,56.74,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW","Q22","Poor fen",-1,556345,1285973,43.26,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW","Q24","Intermediate fen and soft-water spring mire",-2,770874,1572207,49.03,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW","Q24","Intermediate fen and soft-water spring mire",-1,801333,1572207,50.97,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW","Q25","Non-calcareous quaking mire",-2,769102,1385494,55.51,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW","Q25","Non-calcareous quaking mire",-1,616392,1385494,44.49,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW","Q41","Alkaline, calcareous, carbonate-rich small-sedge spring fen",-2,544254,1372944,39.64,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW","Q41","Alkaline, calcareous, carbonate-rich small-sedge spring fen",-1,828690,1372944,60.36,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW","Q42","Extremely rich moss–sedge fen",-2,618349,1723945,35.87,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW","Q42","Extremely rich moss–sedge fen",-1,1105596,1723945,64.13,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW","Q43","Tall-sedge base-rich fen",-2,960815,1473516,65.21,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW","Q43","Tall-sedge base-rich fen",-1,512701,1473516,34.79,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW","Q44","Calcareous quaking mire",-2,614563,1782334,34.48,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW","Q44","Calcareous quaking mire",-1,1167771,1782334,65.52,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW","Q45","Arctic–alpine rich fen",-2,296697,781434,37.97,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW","Q45","Arctic–alpine rich fen",-1,484737,781434,62.03,"Stable"
